高 0 1 B 高 B-NAME
， 19 19 S ， O
重 20 21 B 重 B-ORG
庆 20 21 E 庆 M-ORG
华 22 23 B 华 M-ORG
立 22 23 E 立 M-ORG
控 24 25 B 控 M-ORG
股 24 25 E 股 M-ORG
股 26 27 B 股 M-ORG
份 26 27 E 份 M-ORG
有 28 29 B 有 M-ORG
限 28 29 E 限 M-ORG
公 30 31 B 公 M-ORG
司 30 31 E 司 E-ORG
董 32 33 B 董 B-TITLE
事 32 33 E 事 E-TITLE
、 34 34 S 、 O
武 35 36 B 武 B-ORG
汉 35 36 E 汉 M-ORG
健 37 38 B 健 M-ORG
民 37 38 E 民 M-ORG
药 39 40 B 药 M-ORG
业 39 40 E 业 M-ORG
集 41 42 B 集 M-ORG
团 41 42 E 团 M-ORG
股 43 44 B 股 M-ORG
份 43 44 E 份 M-ORG
有 45 46 B 有 M-ORG
限 45 46 E 限 M-ORG
公 47 48 B 公 M-ORG
司 47 48 E 司 E-ORG
董 49 50 B 董 B-TITLE
事 49 50 E 事 E-TITLE
、 51 51 S 、 O
北 52 53 B 北 B-ORG
京 52 53 E 京 M-ORG
时 54 55 B 时 M-ORG
代 54 55 E 代 M-ORG
方 56 57 B 方 M-ORG
略 56 57 E 略 M-ORG
企 58 59 B 企 M-ORG
业 58 59 E 业 M-ORG
管 60 61 B 管 M-ORG
理 60 61 E 理 M-ORG
咨 62 63 B 咨 M-ORG
询 62 63 E 询 M-ORG
有 64 65 B 有 M-ORG
限 64 65 E 限 M-ORG
公 66 67 B 公 M-ORG
司 66 67 E 司 E-ORG
董 68 70 B 董 B-TITLE
事 68 70 M 事 M-TITLE
长 68 70 E 长 E-TITLE
， 71 71 S ， O
浙 72 73 B 浙 B-ORG
江 72 73 E 江 M-ORG
康 74 76 B 康 M-ORG
恩 74 76 M 恩 M-ORG
贝 74 76 E 贝 M-ORG
制 77 78 B 制 M-ORG
药 77 78 E 药 M-ORG
股 79 80 B 股 M-ORG
份 79 80 E 份 M-ORG
有 81 82 B 有 M-ORG
限 81 82 E 限 M-ORG
公 83 84 B 公 M-ORG
司 83 84 E 司 E-ORG
第 85 86 B 第 B-TITLE
五 85 86 E 五 M-TITLE
届 87 87 S 届 M-TITLE
董 88 90 B 董 M-TITLE
事 88 90 M 事 M-TITLE
会 88 90 E 会 M-TITLE
董 91 92 B 董 M-TITLE
事 91 92 E 事 E-TITLE
、 93 93 S 、 O
第 94 95 B 第 B-TITLE
六 94 95 E 六 M-TITLE
届 96 96 S 届 M-TITLE
董 97 99 B 董 M-TITLE
事 97 99 M 事 M-TITLE
会 97 99 E 会 M-TITLE
独 100 101 B 独 M-TITLE
立 100 101 E 立 M-TITLE
董 102 103 B 董 M-TITLE
事 102 103 E 事 E-TITLE
。 104 104 S 。 O
 
报 0 2 B 报 O
告 0 2 M 告 O
期 0 2 E 期 O
内 3 4 B 内 O
因 3 4 E 因 O
董 5 7 B 董 O
事 5 7 M 事 O
会 5 7 E 会 O
换 8 9 B 换 O
届 8 9 E 届 O
已 10 10 S 已 O
不 11 11 S 不 O
在 12 12 S 在 O
浙 13 14 B 浙 B-ORG
江 13 14 E 江 M-ORG
康 15 17 B 康 M-ORG
恩 15 17 M 恩 M-ORG
贝 15 17 E 贝 M-ORG
制 18 19 B 制 M-ORG
药 18 19 E 药 M-ORG
股 20 21 B 股 M-ORG
份 20 21 E 份 M-ORG
有 22 23 B 有 M-ORG
限 22 23 E 限 M-ORG
公 24 25 B 公 M-ORG
司 24 25 E 司 E-ORG
任 26 27 B 任 O
职 26 27 E 职 O
。 28 28 S 。 O
 
孙 0 2 B 孙 B-NAME
新 0 2 M 新 M-NAME
虎 0 2 E 虎 E-NAME
， 3 3 S ， O
男 4 4 S 男 O
， 5 5 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
7 0 4 M 7 O
4 0 4 M 4 O
年 0 4 E 年 O
出 5 6 B 出 O
生 5 6 E 生 O
， 7 7 S ， O
硕 8 9 B 硕 B-EDU
士 8 9 E 士 M-EDU
学 10 11 B 学 M-EDU
历 10 11 E 历 E-EDU
， 12 12 S ， O
工 13 15 B 工 B-TITLE
程 13 15 M 程 M-TITLE
师 13 15 E 师 E-TITLE
， 16 16 S ， O
中 17 18 B 中 B-TITLE
共 17 18 E 共 M-TITLE
党 19 20 B 党 M-TITLE
员 19 20 E 员 E-TITLE
。 21 21 S 。 O
 
孙 0 2 B 孙 B-NAME
新 0 2 M 新 M-NAME
虎 0 2 E 虎 E-NAME
先 3 4 B 先 O
生 3 4 E 生 O
自 5 5 S 自 O
1 6 10 B 1 O
9 6 10 M 9 O
9 6 10 M 9 O
7 6 10 M 7 O
年 6 10 E 年 O
7 11 12 B 7 O
月 11 12 E 月 O
起 13 13 S 起 O
在 14 14 S 在 O
青 15 16 B 青 B-ORG
岛 15 16 E 岛 M-ORG
肯 17 19 B 肯 M-ORG
德 17 19 M 德 M-ORG
基 17 19 E 基 M-ORG
有 20 21 B 有 M-ORG
限 20 21 E 限 M-ORG
公 22 23 B 公 M-ORG
司 22 23 E 司 M-ORG
驻 24 25 B 驻 M-ORG
外 24 25 E 外 M-ORG
事 26 28 B 事 M-ORG
务 26 28 M 务 M-ORG
部 26 28 E 部 E-ORG
参 29 30 B 参 O
加 29 30 E 加 O
工 31 32 B 工 O
作 31 32 E 作 O
， 33 33 S ， O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
3 0 4 M 3 O
年 0 4 E 年 O
3 5 6 B 3 O
月 5 6 E 月 O
加 7 8 B 加 O
入 7 8 E 入 O
山 9 11 B 山 B-ORG
东 9 11 M 东 M-ORG
西 9 11 E 西 M-ORG
王 12 12 S 王 M-ORG
集 13 14 B 集 M-ORG
团 13 14 E 团 M-ORG
有 15 16 B 有 M-ORG
限 15 16 E 限 M-ORG
公 17 18 B 公 M-ORG
司 17 18 E 司 E-ORG
， 19 19 S ， O
近 20 20 S 近 O
五 21 21 S 五 O
年 22 22 S 年 O
来 23 23 S 来 O
， 24 24 S ， O
孙 25 27 B 孙 B-NAME
新 25 27 M 新 M-NAME
虎 25 27 E 虎 E-NAME
先 28 29 B 先 O
生 28 29 E 生 O
先 30 31 B 先 O
后 30 31 E 后 O
担 32 33 B 担 O
任 32 33 E 任 O
西 34 35 B 西 B-ORG
王 34 35 E 王 M-ORG
集 36 37 B 集 M-ORG
团 36 37 E 团 M-ORG
有 38 39 B 有 M-ORG
限 38 39 E 限 M-ORG
公 40 41 B 公 M-ORG
司 40 41 E 司 E-ORG
总 42 44 B 总 B-TITLE
经 42 44 M 经 M-TITLE
理 42 44 E 理 M-TITLE
助 45 46 B 助 M-TITLE
理 45 46 E 理 E-TITLE
、 47 47 S 、 O
副 48 51 B 副 B-TITLE
总 48 51 M 总 M-TITLE
经 48 51 M 经 M-TITLE
理 48 51 E 理 E-TITLE
， 52 52 S ， O
公 53 54 B 公 B-ORG
司 53 54 E 司 E-ORG
董 55 57 B 董 B-TITLE
事 55 57 M 事 M-TITLE
会 55 57 E 会 M-TITLE
秘 58 59 B 秘 M-TITLE
书 58 59 E 书 E-TITLE
等 60 61 B 等 O
职 60 61 E 职 O
， 62 62 S ， O
现 63 63 S 现 O
主 64 65 B 主 O
要 64 65 E 要 O
担 66 67 B 担 O
任 66 67 E 任 O
西 68 69 B 西 B-ORG
王 68 69 E 王 M-ORG
药 70 71 B 药 M-ORG
业 70 71 E 业 M-ORG
有 72 73 B 有 M-ORG
限 72 73 E 限 M-ORG
公 74 75 B 公 M-ORG
司 74 75 E 司 E-ORG
董 76 77 B 董 B-TITLE
事 76 77 E 事 E-TITLE
， 78 78 S ， O
西 79 80 B 西 B-ORG
王 79 80 E 王 M-ORG
臵 81 82 B 臵 M-ORG
业 81 82 E 业 M-ORG
控 83 84 B 控 M-ORG
股 83 84 E 股 M-ORG
有 85 86 B 有 M-ORG
限 85 86 E 限 M-ORG
公 87 88 B 公 M-ORG
司 87 88 E 司 E-ORG
董 89 90 B 董 B-TITLE
事 89 90 E 事 E-TITLE
， 91 91 S ， O
西 92 93 B 西 B-ORG
王 92 93 E 王 M-ORG
特 94 95 B 特 M-ORG
钢 94 95 E 钢 M-ORG
有 96 97 B 有 M-ORG
限 96 97 E 限 M-ORG
公 98 99 B 公 M-ORG
司 98 99 E 司 E-ORG
董 100 101 B 董 B-TITLE
事 100 101 E 事 E-TITLE
， 102 102 S ， O
山 103 105 B 山 B-ORG
东 103 105 M 东 M-ORG
西 103 105 E 西 M-ORG
王 106 108 B 王 M-ORG
糖 106 108 M 糖 M-ORG
业 106 108 E 业 M-ORG
有 109 110 B 有 M-ORG
限 109 110 E 限 M-ORG
公 111 112 B 公 M-ORG
司 111 112 E 司 E-ORG
董 113 114 B 董 B-TITLE
事 113 114 E 事 E-TITLE
， 115 115 S ， O
西 116 117 B 西 B-ORG
王 116 117 E 王 M-ORG
集 118 119 B 集 M-ORG
团 118 119 E 团 M-ORG
有 120 121 B 有 M-ORG
限 120 121 E 限 M-ORG
公 122 123 B 公 M-ORG
司 122 123 E 司 E-ORG
董 124 125 B 董 B-TITLE
事 124 125 E 事 E-TITLE
， 126 126 S ， O
西 127 128 B 西 B-ORG
王 127 128 E 王 M-ORG
淀 129 130 B 淀 M-ORG
粉 129 130 E 粉 M-ORG
有 131 132 B 有 M-ORG
限 131 132 E 限 M-ORG
公 133 134 B 公 M-ORG
司 133 134 E 司 E-ORG
董 135 136 B 董 B-TITLE
事 135 136 E 事 E-TITLE
， 137 137 S ， O
西 138 139 B 西 B-ORG
王 138 139 E 王 M-ORG
食 140 141 B 食 M-ORG
品 140 141 E 品 E-ORG
副 142 145 B 副 B-TITLE
董 142 145 M 董 M-TITLE
事 142 145 M 事 M-TITLE
长 142 145 E 长 E-TITLE
。 146 146 S 。 O
 
杜 0 1 B 杜 B-NAME
少 0 1 E 少 M-NAME
先 2 2 S 先 E-NAME
， 3 3 S ， O
男 4 4 S 男 O
， 5 5 S ， O
汉 6 7 B 汉 B-RACE
族 6 7 E 族 E-RACE
， 8 8 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
4 0 4 M 4 O
1 0 4 M 1 O
年 0 4 E 年 O
1 5 8 B 1 O
0 5 8 M 0 O
月 5 8 M 月 O
生 5 8 E 生 O
。 9 9 S 。 O
 
本 0 1 B 本 B-EDU
科 0 1 E 科 E-EDU
， 2 2 S ， O
研 3 5 B 研 B-TITLE
究 3 5 M 究 M-TITLE
员 3 5 E 员 E-TITLE
。 6 6 S 。 O
 
1 0 4 B 1 O
9 0 4 M 9 O
6 0 4 M 6 O
6 0 4 M 6 O
年 0 4 E 年 O
参 5 6 B 参 O
加 5 6 E 加 O
工 7 8 B 工 O
作 7 8 E 作 O
。 9 9 S 。 O
 
现 0 1 B 现 O
任 0 1 E 任 O
吉 2 4 B 吉 B-ORG
林 2 4 M 林 M-ORG
省 2 4 E 省 M-ORG
社 5 6 B 社 M-ORG
会 5 6 E 会 M-ORG
科 7 9 B 科 M-ORG
学 7 9 M 学 M-ORG
院 7 9 E 院 E-ORG
研 10 12 B 研 B-TITLE
究 10 12 M 究 M-TITLE
员 10 12 E 员 E-TITLE
、 13 13 S 、 O
兼 14 14 S 兼 O
吉 15 17 B 吉 B-ORG
林 15 17 M 林 M-ORG
省 15 17 E 省 M-ORG
社 18 20 B 社 M-ORG
科 18 20 M 科 M-ORG
联 18 20 E 联 E-ORG
副 21 23 B 副 B-TITLE
主 21 23 M 主 M-TITLE
席 21 23 E 席 E-TITLE
， 24 24 S ， O
东 25 26 B 东 B-ORG
北 25 26 E 北 M-ORG
证 27 28 B 证 M-ORG
券 27 28 E 券 M-ORG
有 29 30 B 有 M-ORG
限 29 30 E 限 M-ORG
责 31 32 B 责 M-ORG
任 31 32 E 任 M-ORG
公 33 34 B 公 M-ORG
司 33 34 E 司 E-ORG
独 35 36 B 独 B-TITLE
立 35 36 E 立 M-TITLE
董 37 38 B 董 M-TITLE
事 37 38 E 事 E-TITLE
。 39 39 S 。 O
 
1 0 4 B 1 O
9 0 4 M 9 O
6 0 4 M 6 O
6 0 4 M 6 O
年 0 4 E 年 O
- 5 5 S - O
1 6 10 B 1 O
9 6 10 M 9 O
7 6 10 M 7 O
6 6 10 M 6 O
年 6 10 E 年 O
长 11 13 B 长 B-ORG
春 11 13 M 春 M-ORG
市 11 13 E 市 M-ORG
公 14 16 B 公 M-ORG
安 14 16 M 安 M-ORG
局 14 16 E 局 E-ORG
工 17 18 B 工 O
作 17 18 E 作 O
； 19 19 S ； O
 
1 0 4 B 1 O
9 0 4 M 9 O
7 0 4 M 7 O
6 0 4 M 6 O
年 0 4 E 年 O
- 5 5 S - O
1 6 10 B 1 O
9 6 10 M 9 O
7 6 10 M 7 O
9 6 10 M 9 O
年 6 10 E 年 O
长 11 12 B 长 B-ORG
春 11 12 E 春 M-ORG
市 13 14 B 市 M-ORG
委 13 14 E 委 M-ORG
研 15 17 B 研 M-ORG
究 15 17 M 究 M-ORG
室 15 17 E 室 E-ORG
工 18 19 B 工 O
作 18 19 E 作 O
； 20 20 S ； O
 
1 0 4 B 1 O
9 0 4 M 9 O
7 0 4 M 7 O
9 0 4 M 9 O
年 0 4 E 年 O
- 5 5 S - O
1 6 10 B 1 O
9 6 10 M 9 O
8 6 10 M 8 O
3 6 10 M 3 O
年 6 10 E 年 O
吉 11 13 B 吉 B-ORG
林 11 13 M 林 M-ORG
省 11 13 E 省 M-ORG
社 14 15 B 社 M-ORG
会 14 15 E 会 M-ORG
科 16 18 B 科 M-ORG
学 16 18 M 学 M-ORG
院 16 18 E 院 M-ORG
经 19 20 B 经 M-ORG
济 19 20 E 济 M-ORG
研 21 23 B 研 M-ORG
究 21 23 M 究 M-ORG
所 21 23 E 所 E-ORG
工 24 25 B 工 O
作 24 25 E 作 O
； 26 26 S ； O
 
1 0 4 B 1 O
9 0 4 M 9 O
8 0 4 M 8 O
3 0 4 M 3 O
年 0 4 E 年 O
- 5 5 S - O
1 6 10 B 1 O
9 6 10 M 9 O
8 6 10 M 8 O
8 6 10 M 8 O
年 6 10 E 年 O
吉 11 13 B 吉 B-ORG
林 11 13 M 林 M-ORG
省 11 13 E 省 M-ORG
省 14 16 B 省 M-ORG
政 14 16 M 政 M-ORG
府 14 16 E 府 M-ORG
发 17 18 B 发 M-ORG
展 17 18 E 展 M-ORG
研 19 20 B 研 M-ORG
究 19 20 E 究 M-ORG
中 21 22 B 中 M-ORG
心 21 22 E 心 E-ORG
城 23 24 B 城 B-TITLE
市 23 24 E 市 M-TITLE
处 25 25 S 处 M-TITLE
处 26 27 B 处 M-TITLE
长 26 27 E 长 E-TITLE
； 28 28 S ； O
 
1 0 4 B 1 O
9 0 4 M 9 O
8 0 4 M 8 O
8 0 4 M 8 O
年 0 4 E 年 O
- 5 5 S - O
1 6 10 B 1 O
9 6 10 M 9 O
9 6 10 M 9 O
6 6 10 M 6 O
年 6 10 E 年 O
吉 11 13 B 吉 B-ORG
林 11 13 M 林 M-ORG
省 11 13 E 省 M-ORG
政 14 15 B 政 M-ORG
府 14 15 E 府 M-ORG
调 16 18 B 调 M-ORG
研 16 18 M 研 M-ORG
室 16 18 E 室 E-ORG
、 19 19 S 、 O
省 20 21 B 省 B-ORG
软 20 21 E 软 M-ORG
科 22 23 B 科 M-ORG
学 22 23 E 学 M-ORG
研 24 26 B 研 M-ORG
究 24 26 M 究 M-ORG
所 24 26 E 所 E-ORG
所 27 28 B 所 B-TITLE
长 27 28 E 长 E-TITLE
； 29 29 S ； O
 
1 0 4 B 1 O
9 0 4 M 9 O
9 0 4 M 9 O
6 0 4 M 6 O
年 0 4 E 年 O
- 5 5 S - O
2 6 10 B 2 O
0 6 10 M 0 O
0 6 10 M 0 O
1 6 10 M 1 O
年 6 10 E 年 O
吉 11 13 B 吉 B-ORG
林 11 13 M 林 M-ORG
省 11 13 E 省 M-ORG
经 14 16 B 经 M-ORG
团 14 16 M 团 M-ORG
联 14 16 E 联 E-ORG
党 17 18 B 党 B-TITLE
组 17 18 E 组 M-TITLE
书 19 20 B 书 M-TITLE
记 19 20 E 记 E-TITLE
（ 21 21 S （ O
正 22 23 B 正 O
厅 22 23 E 厅 O
长 24 25 B 长 O
级 24 25 E 级 O
） 26 26 S ） O
、 27 27 S 、 O
副 28 30 B 副 B-TITLE
会 28 30 M 会 M-TITLE
长 28 30 E 长 E-TITLE
； 31 31 S ； O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
1 0 4 M 1 O
年 0 4 E 年 O
3 5 6 B 3 O
月 5 6 E 月 O
- 7 7 S - O
1 8 10 B 1 O
2 8 10 M 2 O
月 8 10 E 月 O
吉 11 13 B 吉 B-ORG
林 11 13 M 林 M-ORG
省 11 13 E 省 M-ORG
社 14 15 B 社 M-ORG
会 14 15 E 会 M-ORG
科 16 18 B 科 M-ORG
学 16 18 M 学 M-ORG
院 16 18 E 院 E-ORG
（ 19 19 S （ O
社 20 22 B 社 B-ORG
科 20 22 M 科 M-ORG
联 20 22 E 联 E-ORG
） 23 23 S ） O
副 24 26 B 副 B-TITLE
院 24 26 M 院 M-TITLE
长 24 26 E 长 E-TITLE
（ 27 27 S （ O
正 28 29 B 正 O
厅 28 29 E 厅 O
长 30 31 B 长 O
级 30 31 E 级 O
） 32 32 S ） O
； 33 33 S ； O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
1 0 4 M 1 O
年 0 4 E 年 O
至 5 6 B 至 O
今 5 6 E 今 O
吉 7 9 B 吉 B-ORG
林 7 9 M 林 M-ORG
省 7 9 E 省 M-ORG
社 10 11 B 社 M-ORG
会 10 11 E 会 M-ORG
科 12 14 B 科 M-ORG
学 12 14 M 学 M-ORG
院 12 14 E 院 E-ORG
研 15 17 B 研 B-TITLE
究 15 17 M 究 M-TITLE
员 15 17 E 员 E-TITLE
、 18 18 S 、 O
兼 19 19 S 兼 O
吉 20 22 B 吉 B-ORG
林 20 22 M 林 M-ORG
省 20 22 E 省 M-ORG
社 23 25 B 社 M-ORG
科 23 25 M 科 M-ORG
联 23 25 E 联 E-ORG
副 26 28 B 副 B-TITLE
主 26 28 M 主 M-TITLE
席 26 28 E 席 E-TITLE
； 29 29 S ； O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
5 0 4 M 5 O
年 0 4 E 年 O
1 5 7 B 1 O
2 5 7 M 2 O
月 5 7 E 月 O
至 8 9 B 至 O
今 8 9 E 今 O
东 10 11 B 东 B-ORG
北 10 11 E 北 M-ORG
证 12 13 B 证 M-ORG
券 12 13 E 券 M-ORG
有 14 15 B 有 M-ORG
限 14 15 E 限 M-ORG
责 16 17 B 责 M-ORG
任 16 17 E 任 M-ORG
公 18 19 B 公 M-ORG
司 18 19 E 司 E-ORG
独 20 21 B 独 B-TITLE
立 20 21 E 立 M-TITLE
董 22 23 B 董 M-TITLE
事 22 23 E 事 E-TITLE
。 24 24 S 。 O
 
林 0 2 B 林 B-NAME
福 0 2 M 福 M-NAME
臣 0 2 E 臣 E-NAME
， 3 3 S ， O
男 4 4 S 男 O
， 5 5 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
5 0 4 M 5 O
8 0 4 M 8 O
年 0 4 E 年 O
1 5 6 B 1 O
月 5 6 E 月 O
出 7 8 B 出 O
生 7 8 E 生 O
， 9 9 S ， O
大 10 11 B 大 B-EDU
专 10 11 E 专 M-EDU
学 12 13 B 学 M-EDU
历 12 13 E 历 E-EDU
， 14 14 S ， O
高 15 16 B 高 B-TITLE
级 15 16 E 级 M-TITLE
经 17 19 B 经 M-TITLE
济 17 19 M 济 M-TITLE
师 17 19 E 师 E-TITLE
。 20 20 S 。 O
 
曾 0 0 S 曾 O
任 1 1 S 任 O
中 2 3 B 中 B-ORG
国 2 3 E 国 M-ORG
人 4 5 B 人 M-ORG
民 4 5 E 民 M-ORG
银 6 7 B 银 M-ORG
行 6 7 E 行 E-ORG
稽 8 10 B 稽 B-TITLE
核 8 10 M 核 M-TITLE
局 8 10 E 局 M-TITLE
银 11 12 B 银 M-TITLE
行 11 12 E 行 M-TITLE
一 13 13 S 一 M-TITLE
处 14 14 S 处 M-TITLE
、 15 15 S 、 M-TITLE
二 16 17 B 二 M-TITLE
处 16 17 E 处 M-TITLE
副 18 20 B 副 M-TITLE
处 18 20 M 处 M-TITLE
长 18 20 E 长 E-TITLE
， 21 21 S ， O
中 22 23 B 中 B-ORG
国 22 23 E 国 M-ORG
人 24 25 B 人 M-ORG
民 24 25 E 民 M-ORG
银 26 27 B 银 M-ORG
行 26 27 E 行 M-ORG
银 28 29 B 银 M-ORG
行 28 29 E 行 E-ORG
一 30 30 S 一 B-TITLE
司 31 31 S 司 M-TITLE
银 32 33 B 银 M-TITLE
行 32 33 E 行 M-TITLE
二 34 35 B 二 M-TITLE
处 34 35 E 处 M-TITLE
处 36 37 B 处 M-TITLE
长 36 37 E 长 E-TITLE
， 38 38 S ， O
上 39 40 B 上 B-ORG
海 39 40 E 海 M-ORG
浦 41 42 B 浦 M-ORG
东 41 42 E 东 M-ORG
发 43 44 B 发 M-ORG
展 43 44 E 展 M-ORG
银 45 46 B 银 M-ORG
行 45 46 E 行 E-ORG
稽 47 49 B 稽 B-TITLE
核 47 49 M 核 M-TITLE
部 47 49 E 部 M-TITLE
总 50 52 B 总 M-TITLE
经 50 52 M 经 M-TITLE
理 50 52 E 理 E-TITLE
。 53 53 S 。 O
 
现 0 1 B 现 O
任 0 1 E 任 O
上 2 3 B 上 B-ORG
海 2 3 E 海 M-ORG
浦 4 5 B 浦 M-ORG
东 4 5 E 东 M-ORG
发 6 7 B 发 M-ORG
展 6 7 E 展 M-ORG
银 8 9 B 银 M-ORG
行 8 9 E 行 E-ORG
首 10 11 B 首 B-TITLE
席 10 11 E 席 M-TITLE
审 12 14 B 审 M-TITLE
计 12 14 M 计 M-TITLE
官 12 14 E 官 E-TITLE
、 15 15 S 、 O
纪 16 17 B 纪 B-TITLE
委 16 17 E 委 M-TITLE
委 18 19 B 委 M-TITLE
员 18 19 E 员 E-TITLE
。 20 20 S 。 O
 
吴 0 2 B 吴 B-NAME
友 0 2 M 友 M-NAME
富 0 2 E 富 E-NAME
， 3 3 S ， O
男 4 4 S 男 O
， 5 5 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
5 0 4 M 5 O
1 0 4 M 1 O
年 0 4 E 年 O
4 5 6 B 4 O
月 5 6 E 月 O
生 7 7 S 生 O
， 8 8 S ， O
教 9 10 B 教 B-TITLE
授 9 10 E 授 E-TITLE
。 11 11 S 。 O
 
曾 0 0 S 曾 O
任 1 1 S 任 O
上 2 3 B 上 B-ORG
海 2 3 E 海 M-ORG
外 4 6 B 外 M-ORG
国 4 6 M 国 M-ORG
语 4 6 E 语 M-ORG
大 7 8 B 大 M-ORG
学 7 8 E 学 M-ORG
英 9 11 B 英 M-ORG
语 9 11 M 语 M-ORG
系 9 11 E 系 E-ORG
助 12 13 B 助 B-TITLE
教 12 13 E 教 E-TITLE
、 14 14 S 、 O
讲 15 16 B 讲 B-TITLE
师 15 16 E 师 E-TITLE
、 17 17 S 、 O
副 18 20 B 副 B-TITLE
教 18 20 M 教 M-TITLE
授 18 20 E 授 E-TITLE
， 21 21 S ， O
工 22 23 B 工 B-TITLE
商 22 23 E 商 M-TITLE
管 24 25 B 管 M-TITLE
理 24 25 E 理 M-TITLE
研 26 28 B 研 M-TITLE
究 26 28 M 究 M-TITLE
生 26 28 E 生 M-TITLE
导 29 30 B 导 M-TITLE
师 29 30 E 师 E-TITLE
、 31 31 S 、 O
教 32 33 B 教 B-TITLE
授 32 33 E 授 E-TITLE
、 34 34 S 、 O
校 35 36 B 校 B-TITLE
长 35 36 E 长 M-TITLE
助 37 38 B 助 M-TITLE
理 37 38 E 理 E-TITLE
、 39 39 S 、 O
校 40 40 S 校 B-TITLE
党 41 42 B 党 M-TITLE
委 41 42 E 委 M-TITLE
副 43 45 B 副 M-TITLE
书 43 45 M 书 M-TITLE
记 43 45 E 记 E-TITLE
。 46 46 S 。 O
 
现 0 1 B 现 O
任 0 1 E 任 O
上 2 3 B 上 B-ORG
海 2 3 E 海 M-ORG
外 4 6 B 外 M-ORG
国 4 6 M 国 M-ORG
语 4 6 E 语 M-ORG
大 7 8 B 大 M-ORG
学 7 8 E 学 E-ORG
副 9 11 B 副 B-TITLE
校 9 11 M 校 M-TITLE
长 9 11 E 长 E-TITLE
。 12 12 S 。 O
 
赵 0 1 B 赵 B-NAME
霞 0 1 E 霞 E-NAME
女 2 3 B 女 O
士 2 3 E 士 O
， 4 4 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
7 0 4 M 7 O
9 0 4 M 9 O
年 0 4 E 年 O
1 5 7 B 1 O
月 5 7 M 月 O
生 5 7 E 生 O
， 8 8 S ， O
中 9 10 B 中 B-CONT
国 9 10 E 国 M-CONT
国 11 12 B 国 M-CONT
籍 11 12 E 籍 E-CONT
， 13 13 S ， O
无 14 16 B 无 O
永 14 16 M 永 O
久 14 16 E 久 O
境 17 18 B 境 O
外 17 18 E 外 O
居 19 21 B 居 O
留 19 21 M 留 O
权 19 21 E 权 O
， 22 22 S ， O
专 23 24 B 专 B-EDU
科 23 24 E 科 M-EDU
学 25 26 B 学 M-EDU
历 25 26 E 历 E-EDU
， 27 27 S ， O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
2 0 4 M 2 O
年 0 4 E 年 O
起 5 5 S 起 O
任 6 7 B 任 O
职 6 7 E 职 O
于 8 8 S 于 O
北 9 10 B 北 B-ORG
京 9 10 E 京 M-ORG
华 11 12 B 华 M-ORG
录 11 12 E 录 M-ORG
百 13 14 B 百 M-ORG
纳 13 14 E 纳 M-ORG
影 15 16 B 影 M-ORG
视 15 16 E 视 M-ORG
有 17 18 B 有 M-ORG
限 17 18 E 限 M-ORG
公 19 20 B 公 M-ORG
司 19 20 E 司 E-ORG
， 21 21 S ， O
现 22 23 B 现 O
任 22 23 E 任 O
北 24 25 B 北 B-ORG
京 24 25 E 京 M-ORG
华 26 27 B 华 M-ORG
录 26 27 E 录 M-ORG
百 28 29 B 百 M-ORG
纳 28 29 E 纳 M-ORG
影 30 31 B 影 M-ORG
视 30 31 E 视 M-ORG
股 32 33 B 股 M-ORG
份 32 33 E 份 M-ORG
有 34 35 B 有 M-ORG
限 34 35 E 限 M-ORG
公 36 37 B 公 M-ORG
司 36 37 E 司 E-ORG
综 38 39 B 综 B-TITLE
合 38 39 E 合 M-TITLE
管 40 42 B 管 M-TITLE
理 40 42 M 理 M-TITLE
部 40 42 E 部 M-TITLE
主 43 44 B 主 M-TITLE
管 43 44 E 管 E-TITLE
， 45 45 S ， O
职 46 47 B 职 B-TITLE
工 46 47 E 工 M-TITLE
代 48 49 B 代 M-TITLE
表 48 49 E 表 M-TITLE
监 50 51 B 监 M-TITLE
事 50 51 E 事 E-TITLE
。 52 52 S 。 O
 
黎 0 2 B 黎 B-NAME
晓 0 2 M 晓 M-NAME
宏 0 2 E 宏 E-NAME
先 3 4 B 先 O
生 3 4 E 生 O
， 5 5 S ， O
硕 6 7 B 硕 B-EDU
士 6 7 E 士 M-EDU
研 8 10 B 研 M-EDU
究 8 10 M 究 M-EDU
生 8 10 E 生 E-EDU
， 11 11 S ， O
高 12 13 B 高 B-TITLE
级 12 13 E 级 M-TITLE
经 14 16 B 经 M-TITLE
济 14 16 M 济 M-TITLE
师 14 16 E 师 E-TITLE
。 17 17 S 。 O
 
曾 0 0 S 曾 O
任 1 1 S 任 O
北 2 3 B 北 B-ORG
京 2 3 E 京 M-ORG
玻 4 5 B 玻 M-ORG
璃 4 5 E 璃 M-ORG
二 6 6 S 二 M-ORG
